degree,coefficients,input_sequence,target_sequence
4,"-9,3,-2,-7,3,0","73971,52956,36761,24588,15711",9476
1,"-3,4,0,0,0,0","-3,1,5,9,13,17,21,25,29",33
2,"3,-4,-5,0,0,0","-2505,-2734,-2973,-3222,-3481,-3750,-4029,-4318",-4617
2,"1,-8,-9,0,0,0","-1875,-2144,-2431,-2736,-3059,-3400,-3759,-4136,-4531,-4944",-5375
4,"-2,-7,-1,-4,2,0","-2,-12,-20,22,210",688
4,"-5,-4,-9,0,-5,0","-144279,-104933,-74255,-50865,-33503,-21029,-12423,-6785,-3335,-1413",-479
2,"-9,-6,3,0,0,0","36,15,0,-9,-12,-9,0,15,36,63",96
3,"8,2,4,9,0,0","23,100,293,656,1243,2108,3305,4888,6911,9428",12493
3,"-10,-8,5,7,0,0","-11290,-8634,-6430,-4636,-3210,-2110,-1294,-720,-346",-130
5,"-10,2,7,3,3,-7","-1673410,-2505578,-3639898,-5152030,-7129322,-9671650,-12892258,-16918598,-21893170,-27974362",-35337290
5,"-2,5,8,-8,9,6","41043636,50655862,61989498,75265968,90724912,108624906,129244182",152881348
1,"0,1,0,0,0,0","10,11,12,13,14,15,16,17,18,19",20
1,"1,1,0,0,0,0","-4,-3,-2,-1,0",1
3,"10,7,4,-10,0,0","-104380,-119383,-135758,-153565,-172864,-193715,-216178,-240313,-266180",-293839
3,"-5,-7,-4,7,0,0","46431,54255,62911,72441,82887,94291,106695",120141
2,"6,-4,-3,0,0,0","-9,2,7,6,-1,-14",-33
1,"-6,-1,0,0,0,0","-17,-18,-19,-20,-21,-22,-23,-24,-25",-26
5,"-5,-1,3,-5,-3,-2","-141197,-234715,-372333,-568097,-838765,-1204047,-1686845,-2313493,-3113997",-4122275
3,"-8,9,10,-7,0,0","2820,1810,1072,564,244,70,0,-8",4
1,"-2,-4,0,0,0,0","58,54,50,46,42,38",34
5,"-9,-7,-8,-6,-8,6","34653,79126,160191,296712,513121,840138,1315491",1984636
1,"8,-4,0,0,0,0","-32,-36,-40,-44,-48,-52",-56
4,"7,-10,-1,8,-5,0","-14721,-8177,-4093,-1761,-593",-121
4,"1,2,10,-7,2,0","125,18,1,8,21,70,233,636",1453
2,"-2,-2,3,0,0,0","1974,2131,2294,2463,2638,2819,3006,3199,3398,3603",3814
5,"-1,-7,3,-5,-8,-3","9,-1,-21,-267,-1507,-5421,-14961,-34711",-71247
5,"6,8,3,6,-5,-4","3842694,2764686,1943234,1329594,881622",563294
4,"-8,-4,9,6,-3,0","-71040,-97084,-129668,-169800,-218560,-277100,-346644,-428488,-524000",-634620
5,"-8,3,8,-5,10,-3","76509,37630,16427,6060,1729,314,15",-8
5,"0,-8,-7,2,7,-8","-728780,-1184194,-1843152,-2767310,-4029676,-5715570,-7923584,-10766542",-14372460
2,"5,-10,-6,0,0,0","-1971,-1759,-1559,-1371,-1195,-1031,-879,-739",-611
1,"-6,4,0,0,0,0","46,50,54,58,62,66",70
3,"-5,-10,-10,5,0,0","90850,101635,113240,125695,139030,153275,168460,184615,201770",219955
4,"6,-8,0,-8,-4,0","-1022378,-1216878,-1437882,-1687694,-1968714",-2283438
2,"9,-7,4,0,0,0","3399,3636,3881,4134,4395,4664,4941",5226
3,"-7,-9,4,-3,0,0","-9367,-11415,-13743,-16369,-19311",-22587
5,"8,-4,-2,8,-3,10","319336,576449,977768,1576957,2439608,3644441",5284504
4,"8,-5,-8,9,4,0","287648,223320,170408,127478,93192",66308
2,"-7,5,2,0,0,0","143,110,81,56,35,18,5",-4
5,"-9,10,10,8,3,2","30457152,36448431,43347944,51255291,60277104",70527287
5,"4,9,-4,10,-3,10","203230438,240836674,283815296,332722468,388151482,450733958,521141044,600084616,688318478,786639562",895889128
3,"2,9,0,-8,0,0","2,3,-44,-187,-474,-953,-1672,-2679",-4022
5,"-7,9,-2,4,7,2","4536803,5891323,7551373,9565913,11988871,14879383",18302033
3,"7,-4,1,10,0,0","-61,2,7,14,83",274
4,"8,-10,4,4,3,0","10584,6105,3236,1533,624,209,60,21,8",9
4,"-7,-7,9,4,3,0","127883,167288,215177,272690,341039",421508
5,"9,10,6,7,-10,7","3401141,4834509,6715049,9140093,12220173,16079861,20858609,26711589,33810533,42344573",52521081
1,"6,2,0,0,0,0","58,60,62,64,66,68",70
3,"-5,-8,-6,2,0,0","-5,-17,-29,-29,-5,55,163",331
5,"-10,-5,-1,10,-10,-10","-82806466,-101407010,-123208576,-148607524,-178031654,-211941406,-250831060,-295229936,-345703594",-402855034
1,"-10,4,0,0,0,0","-62,-58,-54,-50,-46,-42,-38",-34
2,"2,-3,3,0,0,0","332,398,470,548,632,722",818
3,"4,-3,-5,-1,0,0","-5420,-6405,-7502,-8717,-10056,-11525",-13130
3,"10,1,-7,-8,0,0","-4526,-6380,-8680,-11474,-14810,-18736",-23300
5,"-3,-4,4,-9,5,-3","-3,-10,-83,-546,-2323,-7298,-18675,-41338",-82211
2,"-7,6,9,0,0,0","3017,3356,3713,4088,4481",4892
5,"9,-4,-5,-7,-2,-9","4781877,3299110,2209449,1428942,886549,523062,290025,148654,68757,27654",9097
5,"8,-3,8,1,-5,-4","2782853,1958090,1341569,891116,570677,349838,203345",110624
3,"-8,0,7,2,0,0","18792,21601,24676,28029,31672",35617
3,"3,7,10,-10,0,0","-962,-1755,-2888,-4421,-6414,-8927",-12020
5,"7,1,4,-9,4,3","26725,57148,110351,197170,331417",530240
3,"5,1,-5,8,0,0","82791,94719,107741,121905,137259,153851,171729,190941,211535,233559",257061
2,"-5,0,-6,0,0,0","-155,-101,-59,-29,-11,-5",-11
1,"-10,1,0,0,0,0","-6,-5,-4,-3,-2",-1
5,"6,-9,-6,5,0,3","35727724,43140525,51735914,61650091,73029336,86030369,100820710",117579039
1,"6,5,0,0,0,0","31,36,41,46,51,56",61
3,"-10,-5,1,7,0,0","-52,-11,-10,-7,40,173",434
5,"6,-3,-7,-10,3,6","-5,132,1365,6154,19191,48120,104257,203310,366099",619276
1,"3,-7,0,0,0,0","-32,-39,-46,-53,-60,-67,-74,-81,-88,-95",-102
4,"2,-3,-3,2,10,0","1961948,2362340,2821090,3343610,3935552,4602808",5351510
1,"-10,-4,0,0,0,0","58,54,50,46,42,38,34",30
2,"9,9,-3,0,0,0","-45,-21,-3,9,15,15,9",-3
4,"3,-7,-6,0,-8,0","-2113,-678,-135,-4,3,-18,-163,-720",-2169
1,"-4,4,0,0,0,0","52,56,60,64,68,72,76",80
4,"3,5,-1,10,-2,0","-1185,-453,-123,-15,3",15
3,"5,5,-10,1,0,0","8189,9505,10951,12533,14257,16129,18155,20341,22693",25217
5,"-4,4,-2,3,-1,2","481868,720326,1045124,1477856,2043452,2770418,3691076",4841804
4,"9,-4,2,-6,-2,0","-25831,-37061,-51591,-70009,-92951",-121101
5,"5,-5,-1,-10,8,-2","289955,177845,103405,56243,28079,12505,4745,1415,283",29
5,"-10,-9,8,10,0,-8","-172,-1639,-7470,-23605,-59824,-130707,-256594,-464545,-789300",-1274239
2,"4,8,-1,0,0,0","-16,-29,-44,-61,-80,-101,-124",-149
1,"-9,6,0,0,0,0","75,81,87,93,99",105
3,"-4,-1,7,-8,0,0","-12832,-16410,-20598,-25444,-30996,-37302,-44410,-52368",-61224
3,"-6,0,-9,-9,0,0","-26466,-32406,-39174,-46824,-55410",-64986
1,"5,-4,0,0,0,0","-59,-63,-67,-71,-75,-79,-83,-87",-91
1,"0,-7,0,0,0,0","98,91,84,77,70,63,56,49",42
1,"8,8,0,0,0,0","-112,-104,-96,-88,-80",-72
1,"8,-5,0,0,0,0","-57,-62,-67,-72,-77,-82,-87",-92
1,"-1,-2,0,0,0,0","5,3,1,-1,-3,-5",-7
4,"3,8,7,-3,2,0","527071,626307,738953,866167,1009155,1169171,1347517,1545543,1764647,2006275",2271921
2,"-7,4,-7,0,0,0","-6187,-6610,-7047,-7498,-7963",-8442
5,"-7,-2,6,-2,-3,3","-327387,-194875,-109175,-56637,-26563",-10847
1,"2,-10,0,0,0,0","-228,-238,-248,-258,-268,-278,-288",-298
1,"-7,2,0,0,0,0","31,33,35,37,39,41,43,45,47,49",51
4,"-6,5,9,9,-1,0","-228506,-188904,-154644,-125228,-100182,-79056,-61424,-46884,-35058",-25592
5,"-4,-5,-9,10,2,5","91787,176532,314879,529046,846699,1301552,1933967",2791554
4,"7,-4,-10,0,3,0","1165532,1364071,1586932,1836023,2113324,2420887,2760836",3135367
3,"10,-8,-8,3,0,0","-119,-30,7,10,-3",-14
1,"-7,10,0,0,0,0","233,243,253,263,273,283",293
4,"4,8,9,-2,-2,0","-1265932,-1455535,-1665656,-1897723,-2153212,-2433647,-2740600,-3075691",-3440588
5,"-1,-9,-3,-5,6,1","4118619,5203169,6504277,8052759,9882215,12029149,14533089",17436707
3,"-7,1,4,-5,0,0","-7,-29,-103,-259,-527,-937",-1519
2,"-6,-9,4,0,0,0","-8,3,22,49,84",127
1,"1,9,0,0,0,0","262,271,280,289,298,307,316,325,334,343",352
2,"-1,-8,4,0,0,0","319,395,479,571,671,779,895,1019,1151",1291
4,"-7,9,-7,-5,-8,0","-49498,-30735,-17906,-9601,-4602,-1883,-610,-141,-26,-7",-18
5,"-2,3,2,3,-5,5","916,4074,12938,33136,73176,145046,264814,453228,736316,1145986",1720626
2,"1,5,5,0,0,0","661,781,911,1051,1201,1361,1531,1711",1901
1,"-5,-9,0,0,0,0","67,58,49,40,31,22,13,4",-5
5,"8,9,4,4,-4,3","-1144,-186,-8,8,24,106,584,2412",7528
2,"4,-5,2,0,0,0","11,4,1,2,7,16,29,46,67,92",121
1,"2,-5,0,0,0,0","37,32,27,22,17,12,7",2
5,"-10,4,-3,0,1,-4","32258,13020,4278,1004,114,-12",-10
4,"-4,1,7,10,2,0","153878,119914,91884,69056,50746,36318",25184
3,"6,10,10,2,0,0","3106,3988,5022,6220,7594,9156,10918,12892,15090",17524
3,"-2,-6,-9,-6,0,0","-22367,-26978,-32183,-38018,-44519,-51722,-59663,-68378,-77903",-88274
4,"-6,8,-7,-5,8,0","1506618,1817590,2174368,2581242,3042694,3563398,4148220,4802218",5530642
4,"2,-9,-7,-10,-1,0","-733615,-839914,-957317,-1086568,-1228435,-1383710,-1553209,-1737772,-1938263,-2155570",-2390605
2,"-4,-9,-4,0,0,0","-3392,-3629,-3874,-4127,-4388,-4657,-4934,-5219,-5512,-5813",-6122
2,"6,-10,-10,0,0,0","-2394,-2714,-3054,-3414,-3794,-4194,-4614,-5054",-5514
1,"1,5,0,0,0,0","11,16,21,26,31,36,41,46,51,56",61
5,"-5,1,5,-10,-6,9","12229914,16319569,21436194,27762015,35499634,44873109,56129034,69537619,85393770",104018169
2,"-7,6,9,0,0,0","1016,833,668,521,392,281",188
5,"-1,7,-9,0,3,3","7816143,10076539,12831923,16159461,20143951,24878183,30463299,37009153",44634671
2,"-10,7,-6,0,0,0","-1658,-1465,-1284,-1115,-958,-813,-680,-559,-450",-353
5,"6,-5,-1,-9,8,5","6562,19456,47244,100078,191902",341052
5,"-10,1,3,1,-7,-5","-6806,-19805,-47632,-100355,-191810",-340201
2,"-2,-9,-2,0,0,0","-13,-28,-47,-70,-97,-128,-163,-202",-245
2,"0,4,-5,0,0,0","-1548,-1729,-1920,-2121,-2332,-2553,-2784,-3025,-3276",-3537
1,"7,-5,0,0,0,0","42,37,32,27,22,17,12,7",2
3,"1,8,9,1,0,0","8893,10261,11761,13399,15181",17113
2,"-4,1,-4,0,0,0","-667,-774,-889,-1012,-1143,-1282,-1429,-1584,-1747,-1918",-2097
3,"-9,7,4,8,0,0","1905,2980,4399,6210,8461,11200,14475,18334,22825,27996",33895
4,"-7,3,-9,-2,5,0","3480138,3987983,4549460,5168217,5848022,6592763,7406448,8293205,9257282,10303047",11434988
3,"-9,10,-10,3,0,0","63,166,339,600,967,1458,2091,2884",3855
5,"8,-4,10,-7,7,-5","-8750656,-11512719,-14932072,-19119631,-24198144,-30302791,-37581784,-46196967,-56324416",-68155039
3,"6,2,-8,-6,0,0","-2430,-3562,-4998,-6774,-8926,-11490,-14502,-17998,-22014",-26586
1,"0,-3,0,0,0,0","48,45,42,39,36,33,30,27,24",21
2,"-5,-10,-3,0,0,0","-1405,-1538,-1677,-1822,-1973",-2130
3,"-3,-2,10,5,0,0","1,4,-3,10,73,216,469",862
5,"-3,5,-3,8,9,-6","-67036765,-81155064,-97556903,-116508634,-138296553,-163227620,-191630179,-223854678,-260274389,-301286128",-347310975
5,"0,7,6,0,10,-7","67566,28240,9796,2544,394,16,0,16,-26,-816",-4484
3,"5,-9,-7,-3,0,0","50,19,10,5,-14,-65,-166",-335
5,"-4,-8,-5,3,-5,1","-64,-154,-180,206,1712,5526,13436,27950",52416
5,"-2,2,-8,2,1,-3","-21878,-47714,-93682,-169760,-288782,-466798,-723434,-1082252,-1571110",-2222522
3,"0,5,10,3,0,0","-2050,-1422,-936,-574,-318,-150,-52,-6",6
3,"4,-7,0,-10,0,0","-156421,-175938,-197015,-219712,-244089,-270206,-298123,-327900",-359597
1,"8,3,0,0,0,0","77,80,83,86,89",92
5,"-1,-3,-3,2,-2,-10","318295,162455,74645,29689,9563,2195,265,5",-1
5,"4,-7,-6,-7,-1,8","94466766,114117475,136909728,163205943,193395394,227895171,267151140",311638903
5,"-8,8,8,-7,-10,1","-297272,-192288,-118988,-69704,-38088,-18992,-8348,-3048",-824
1,"-3,-8,0,0,0,0","-123,-131,-139,-147,-155",-163
4,"10,-6,-4,9,-2,0","-888803,-1035038,-1198589,-1380770,-1582943,-1806518,-2052953,-2323754,-2620475",-2944718
1,"4,-9,0,0,0,0","-140,-149,-158,-167,-176,-185,-194,-203,-212,-221",-230
2,"-1,-6,-6,0,0,0","-937,-793,-661,-541,-433,-337",-253
5,"9,-9,-1,-7,7,-1","586556,406053,272842,176999,110088,65041,36038,18387,8404",3293
1,"-2,-3,0,0,0,0","52,49,46,43,40,37,34",31
1,"6,2,0,0,0,0","-32,-30,-28,-26,-24,-22,-20,-18",-16
4,"5,2,-2,2,4,0","343371,430961,534323,655245,795611,957401,1142691,1353653,1592555",1861761
2,"-9,-9,-6,0,0,0","-5316,-5679,-6054,-6441,-6840,-7251,-7674,-8109,-8556",-9015
2,"9,-9,-4,0,0,0","-1026,-1159,-1300,-1449,-1606,-1771,-1944,-2125,-2314",-2511
2,"8,-5,3,0,0,0","426,358,296,240,190,146,108,76,50",30
1,"-7,-6,0,0,0,0","-121,-127,-133,-139,-145",-151
4,"-3,-8,2,-2,-6,0","-3413,-1347,-393,-59,3,-3,-17,-123",-549
2,"0,-4,-3,0,0,0","-15,-4,1,0,-7,-20,-39,-64,-95",-132
1,"-3,-4,0,0,0,0","17,13,9,5,1,-3,-7,-11,-15",-19
5,"-9,2,8,-6,-1,5","58849899,71100873,85311791,101708907,120535251,142051229,166535223,194284191",225614267
3,"-2,5,10,-7,0,0","-90890,-103002,-116144,-130358,-145686,-162170",-179852
4,"-10,4,10,9,10,0","23,270,1145,3302,7635,15278,27605,46230",73007
2,"1,6,6,0,0,0","121,73,37,13,1,1",13
3,"9,-5,2,2,0,0","-1242,-847,-544,-321,-166,-67",-12
3,"-6,-5,9,5,0,0","3,60,195,438,819,1368,2115",3090
3,"3,1,-6,7,0,0","62205,71657,82021,93339,105653,119005,133437,148991,165709",183633
2,"0,1,-1,0,0,0","-182,-156,-132,-110,-90",-72
1,"10,3,0,0,0,0","67,70,73,76,79,82,85,88,91,94",97
2,"-4,-8,-8,0,0,0","-3700,-4052,-4420,-4804,-5204,-5620,-6052",-6500
2,"8,2,-3,0,0,0","7,0,-13,-32,-57,-88,-125,-168",-217
3,"10,-4,-4,3,0,0","-230,-95,-22,7,10,5,10,43,122",265
3,"8,-4,-6,10,0,0","-2344,-1372,-712,-304,-88,-4,8,8,56,212",536
5,"9,0,0,2,-8,-7","-1241814,-1904247,-2823136,-4066599,-5713866,-7856119,-10597332,-14055111,-18361534,-23663991",-30126024
2,"6,2,5,0,0,0","4269,4566,4873,5190,5517",5854
2,"-2,0,-6,0,0,0","-2402,-2168,-1946,-1736,-1538,-1352",-1178
1,"-10,-8,0,0,0,0","-162,-170,-178,-186,-194,-202,-210,-218,-226,-234",-242
3,"1,10,-7,-6,0,0","1646,985,526,233,70,1,-10,1,-2,-55",-194
1,"-8,-4,0,0,0,0","-56,-60,-64,-68,-72,-76,-80,-84,-88,-92",-96
5,"4,2,8,-8,-7,6","-53720,-21931,-7300,-1739,-208",5
5,"-5,-9,-4,-2,6,9","59579471,73624099,90200395,109636145,132286279,158533951,188791619",223502125
2,"6,-6,6,0,0,0","6,6,18,42,78,126,186,258,342",438
4,"0,-3,-2,3,10,0","134,8,0,8,170,864",2708
3,"-7,4,3,1,0,0","13839,15641,17593,19701,21971,24409,27021,29813,32791",35961
3,"10,0,-4,-7,0,0","3338,2215,1378,785,394,163",50
2,"1,-9,3,0,0,0","121,163,211,265,325,391,463,541",625
3,"7,1,-3,-8,0,0","-75383,-86607,-98893,-112289,-126843,-142603",-159617
4,"7,-1,4,0,-8,0","-4914133,-5654906,-6476423,-7384348,-8384537,-9483038,-10686091,-12000128,-13431773,-14987842",-16675343
5,"-1,-9,-9,10,-2,1","52406,89009,143890,223235,334502",486541
3,"7,3,9,10,0,0","-46573,-38697,-31763,-25711,-20481,-16013,-12247,-9123,-6581",-4561
1,"-2,7,0,0,0,0","19,26,33,40,47,54,61",68
4,"5,0,0,4,-5,0","-107,-4,5,4,-43,-292,-1019,-2620",-5611
1,"2,-3,0,0,0,0","-67,-70,-73,-76,-79,-82",-85
2,"-9,7,10,0,0,0","2136,1853,1590,1347,1124,921,738",575
4,"0,-9,2,-9,-3,0","17,0,-19,-130,-495,-1348,-2995,-5814,-10255",-16840
3,"-1,9,6,5,0,0","49139,56341,64215,72791,82099,92169",103031
4,"2,-1,0,-5,-9,0","-23329,-39430,-62701,-95008,-138433",-195274
2,"7,0,-2,0,0,0","7,5,-1,-11,-25,-43,-65,-91",-121
3,"-5,7,1,5,0,0","-39745,-34072,-28967,-24400,-20341,-16760,-13627,-10912,-8585",-6616
3,"-9,-5,-7,10,0,0","102973,117843,134079,151741,170889,191583,213883,237849,263541,291019",320343
4,"-2,-7,6,-1,-3,0","-253863,-318944,-395791,-485742,-590207,-710668,-848679,-1005866",-1183927
2,"0,1,5,0,0,0","396,312,238,174,120,76,42,18,4",0
4,"-10,-1,-1,4,10,0","22586,12056,5720,2282,686,116,-4",-10
3,"4,-10,-10,-8,0,0","-147624,-165020,-183732,-203808,-225296,-248244,-272700,-298712",-326328
3,"-1,10,5,4,0,0","3410,4599,6038,7751,9762,12095,14774,17823,21266",25127
2,"-8,7,-3,0,0,0","-1306,-1434,-1568,-1708,-1854,-2006,-2164",-2328
5,"-4,-4,-2,-3,6,-4","6194779,4599356,3350981,2389684,1662839,1124684,735841,462836",277619
5,"-3,-9,-5,-10,5,-6","-14275558,-18482183,-23627208,-29859613,-37343378,-46258203,-56800228,-69182753",-83636958
3,"4,-4,6,-9,0,0","-136971,-154228,-172877,-192972,-214567,-237716,-262473",-288892
2,"-10,7,6,0,0,0","248,333,430,539,660,793,938,1095,1264,1445",1638
3,"-1,-8,-7,1,0,0","219,395,623,909,1259,1679,2175,2753,3419",4179
2,"-7,5,2,0,0,0","0,11,26,45,68,95,126,161",200
2,"8,-10,-5,0,0,0","-232,-167,-112,-67,-32,-7,8,13,8,-7",-32
5,"5,-2,2,-7,-1,6","85425629,102495405,122190519,144802745,170644713,200050629,233376995",271003329
1,"2,4,0,0,0,0","114,118,122,126,130",134
4,"-4,10,-5,0,8,0","1924,569,84,-11,-4,9,124,629",2004
5,"-5,6,-6,10,0,-8","25517475,19737917,15056167,11307885,8346011,6039805,4273887,2947277,1972435",1274301
1,"8,8,0,0,0,0","168,176,184,192,200,208,216,224",232
1,"2,-1,0,0,0,0","-12,-13,-14,-15,-16,-17",-18
3,"-8,9,4,1,0,0","25332,28006,30862,33906,37144,40582,44226,48082,52156",56454
5,"5,-6,1,-5,6,-8","-14515627,-19060909,-24679715,-31551907,-39876403,-49872137,-61779019,-75858895,-92396507,-111700453",-134104147
4,"6,5,-8,-3,8,0","2098,648,116,4,6,8,88,516",1754
2,"-2,-7,4,0,0,0","1273,1134,1003,880,765",658
5,"-1,2,-9,-1,2,10","-19,-1,3,311,2489,10551",32159
2,"6,3,8,0,0,0","1122,941,776,627,494,377,276",191
5,"-9,7,6,8,-9,10","-654957,-368321,-192187,-90987,-37769,-12997",-3351
3,"-7,-10,-1,-6,0,0","768,401,176,57,8,-7,-24,-79,-208",-447
1,"5,4,0,0,0,0","-11,-7,-3,1,5,9,13",17
5,"3,8,-3,-7,-10,2","20867,47217,92783,166103,277875,441197",671807
3,"-5,9,-6,10,0,0","171933,192694,215063,239100,264865,292418,321819,353128",386405
3,"-9,-3,2,-5,0,0","-4839,-6455,-8397,-10695,-13379,-16479,-20025,-24047,-28575,-33639",-39269
1,"5,-1,0,0,0,0","22,21,20,19,18,17,16",15
4,"-9,-1,-4,10,-2,0","-135,-24,-9,-6,21,60",51
4,"-4,4,-10,8,-3,0","-39044,-26365,-17060,-10469,-6004,-3149,-1460,-565",-164
5,"-8,8,-2,-9,-6,3","952,4482,13576,32878,69048,131122,230872,383166,606328",922498
3,"-7,-10,3,10,0,0","5225,7436,10193,13556,17585",22340
1,"-2,5,0,0,0,0","83,88,93,98,103,108,113,118,123",128
5,"-9,7,8,5,10,-10","12571,3147,449,7,-9,11,-83,-1401,-7213",-24149
3,"10,0,5,4,0,0","91738,101771,112510,123979,136202",149203
5,"8,3,9,10,4,1","-825128,-588637,-409870,-277529,-181900,-114733,-69122,-39385,-20944,-10205",-4438
1,"-4,-5,0,0,0,0","-14,-19,-24,-29,-34,-39,-44,-49,-54",-59
4,"-1,8,0,-5,-3,0","-440161,-356821,-285913,-226135,-176257,-135121,-101641,-74803",-53665
4,"9,8,-6,8,3,0","22,113,438,1225,2774,5457",9718
3,"10,-2,5,1,0,0","14,34,76,146,250,394,584,826,1126",1490
5,"-6,-10,8,-8,7,-5","-4815014,-6551806,-8757258,-11520428,-14941006,-19129914,-24209906",-30316168
4,"1,2,-3,4,-10,0","-200855,-277302,-373743,-493394,-639711,-816390",-1027367
5,"6,5,9,4,9,9","42,516,3126,11946,34506,82872",174726
3,"8,-3,-6,-1,0,0","4758,3950,3238,2616,2078",1618
2,"4,-10,-2,0,0,0","-248,-204,-164,-128,-96,-68,-44,-24,-8",4
5,"8,1,-5,-10,3,9","543446,919518,1479486,2283716,3404526,4927266,6951398,9591576,12978726,17261126",22605486
4,"-6,3,3,4,-8,0","-2188410,-2597118,-3060556,-3583404,-4170534,-4827010",-5558088
4,"3,9,3,-3,-2,0","-842,-305,-78,-11,-2,3,10,-23,-186,-617",-1502
3,"8,0,-2,10,0,0","-664,-280,-80,-4,8,16,80,260",616
5,"10,3,8,3,-3,10","63564719,78677074,96536335,117501056,141959719,170331934,203069639,240658300,283618111,332505194",387912799
5,"9,-5,-7,-5,-10,5","394259,651297,1027101,1558631,2289807,3272109,4565177,6237411",8366571
5,"-1,6,1,5,-3,1","624689,872799,1194249,1604231,2119905",2760519
5,"0,6,-6,-8,4,-10","3843658,2584152,1678930,1047340,622026,347728,180082",84420
2,"-9,1,-2,0,0,0","-30,-19,-12,-9,-10,-15,-24,-37,-54,-75",-100
1,"8,9,0,0,0,0","116,125,134,143,152,161,170,179,188",197
5,"2,-4,2,0,2,4","16726166,21083922,26306022,32515106,39844902,48440706,58459862,70072242,83460726",98821682
5,"-10,-6,2,-1,-5,1","1106,4505,11846,25613,49130,86681,143630,226541,343298,503225",717206
1,"-10,-9,0,0,0,0","-73,-82,-91,-100,-109,-118,-127",-136
3,"-3,1,5,-5,0,0","-7911,-10130,-12729,-15738,-19187,-23106,-27525,-32474,-37983",-44082
5,"9,-8,-1,9,-9,-3","-47653479,-56966439,-67680539,-79948131,-93932223,-109806839,-127757379,-147980979",-170686871
1,"3,-1,0,0,0,0","-10,-11,-12,-13,-14,-15,-16,-17,-18",-19
4,"8,10,-6,3,-10,0","-143025,-202912,-279895,-376956,-497317,-644440,-822027,-1034020,-1284601,-1578192",-1919455
5,"-5,-3,10,-9,7,-3","-36237,-73629,-137003,-238035,-391473,-615497,-932079,-1367343",-1951925
2,"8,3,-4,0,0,0","-19,-44,-77,-118,-167,-224",-289
4,"-2,-9,-8,6,-10,0","-402068,-300029,-218774,-155267,-106712",-70553
4,"-6,-1,-3,-4,10,0","6674,2766,888,176,6",-6
4,"-6,6,8,8,10,0","1361078,1667314,2022546,2431742,2900110,3433098",4036394
2,"8,-10,5,0,0,0","1623,1808,2003,2208,2423,2648,2883",3128
4,"-9,-9,-3,-2,6,0","794723,640701,510229,400775,309951,235513",175361
5,"-6,-10,-6,0,8,2","1044,3954,11044,25638,52452,97834,170004,279294,438388,662562",969924
4,"6,-7,6,-1,7,0","29630,17499,9552,4691,1986",675
2,"1,-9,-7,0,0,0","-4965,-5345,-5739,-6147,-6569",-7005
3,"-9,10,-4,3,0,0","34606,39399,44616,50275,56394,62991,70084",77691
2,"0,3,10,0,0,0","1651,1404,1177,970,783",616
5,"-3,-1,9,-8,-10,7","-2865554,-1934055,-1262022,-791093,-472386,-265659,-138470,-65337,-26898",-9071
2,"3,-7,-3,0,0,0","-2723,-2907,-3097,-3293,-3495,-3703",-3917
2,"-7,3,4,0,0,0","2775,2990,3213,3444,3683,3930,4185",4448
2,"-9,-8,-4,0,0,0","-149,-201,-261,-329,-405",-489
5,"-2,8,6,-2,10,-8","-221762,-407684,-701322,-1143848,-1785794,-2688012,-3922634,-5574032,-7739778",-10531604
4,"2,4,9,-1,-4,0","4,2,10,-26,-256,-926,-2378",-5050
3,"-7,-8,1,-4,0,0","-27234,-31767,-36778,-42291,-48330,-54919,-62082,-69843,-78226",-87255
4,"-4,-2,-8,10,3,0","-64,-17,-4,-1,88",431
2,"-1,-4,-8,0,0,0","-3613,-3961,-4325,-4705,-5101,-5513,-5941,-6385,-6845",-7321
2,"9,-8,-10,0,0,0","-3375,-3753,-4151,-4569,-5007,-5465",-5943
3,"-7,0,-1,9,0,0","-17,-7,1,61,227",553
5,"-2,-6,10,-6,-5,2","-8347,-2762,-623,-46,13,-2,-7",-38
3,"0,2,0,-1,0,0","56,21,4,-1,0,1,-4,-21,-56,-115",-204
1,"-4,8,0,0,0,0","-156,-148,-140,-132,-124,-116",-108
5,"-1,3,-4,-2,-10,7","-23985661,-18623687,-14266423,-10765591,-7988273,-5816071",-4144267
5,"-6,-1,6,-3,-8,-5","-10303224,-13441499,-17301626,-22001517,-27671276,-34453799",-42505374
3,"9,1,-4,-5,0,0","23401,19449,15969,12931,10305,8061",6169
3,"2,2,-7,-10,0,0","-125325,-142222,-160573,-180438,-201877,-224950,-249717,-276238,-304573",-334782
4,"2,5,8,-9,1,0","142408,174687,212090,255127,304332,360263",423502
4,"-6,2,-6,-4,7,0","1321713,1594334,1907085,2263722,2668169,3124518",3637029
5,"-10,10,-2,10,5,6","-14274501,-10871686,-8151425,-6005418,-4337485,-3062846,-2107401,-1407010,-906773",-560310
5,"1,-7,-5,8,-1,5","12303109,15901861,20297761,25616515,31996405,39588889,48559201",59086951
2,"7,-8,9,0,0,0","2183,2472,2779,3104,3447,3808,4187,4584",4999
3,"-3,-2,2,-9,0,0","6738,4749,3196,2025,1182,613,264",81
2,"7,-5,3,0,0,0","665,579,499,425,357,295,239,189,145",107
1,"2,-7,0,0,0,0","107,100,93,86,79,72,65,58,51,44",37
4,"9,3,10,-5,2,0","184095,230023,284069,347139,420187,504215",600273
2,"-9,-3,-4,0,0,0","-2791,-3006,-3229,-3460,-3699,-3946,-4201",-4464
4,"-3,4,5,-9,6,0","579057,722073,890077,1085823,1312209,1572277,1869213",2206347
